type,reply_users,user,reactions,text,ts,date
message,no_replies,U01T2RB3BRC,U01T3DFVCB0,"<!channel> I have an appointment in the morning and I am not sure what time I will be back. So let's skip the pop-in for tomorrow (yay, you say :rolling_on_the_floor_laughing:)",2021-08-25 15:37:20.001600027,2021-08-25
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"If you want to try readable pro, I signed up to free account. You can log in with my details. Investigate, see what you like/don't like <@U01T3DFVCB0> <@U020GRBA51C> <@U024QQGAX7B> I didn't tag Rickard as he is off today and no one wants messages on days off :slightly_smiling_face:
Site: <https://readable.com/>
Email: <mailto:niamh@tigim.co|niamh@tigim.co>
Password: 1Letmeread!",2021-08-27 11:32:52.002799988,2021-08-27
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"Here is an idea draft from UI designer on doc analysis...just a concept. Thoughts welcome <@U01T3DFVCB0> <@U024QQGAX7B> We will have things to work from next week and get it looking 'slick'
<https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=0%3A1&amp;node-id=37%3A5&amp;viewport=367%2C48%2C0.13&amp;scaling=min-zoom&amp;starting-point-node-id=37%3A5|https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=0%3A1&amp;node-id=37%3[…]367%2C48%2C0.13&amp;scaling=min-zoom&amp;starting-point-node-id=37%3A5>",2021-08-27 15:53:30.005500078,2021-08-27
message,U01T3DFVCB0,U01T2RB3BRC,U024QQGAX7B,"Hey all, what do you prefer...Doc Analysis 1 or Doc Analysis 10? Try it out here <!channel> <https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=72%3A2&amp;node-id=72%3A24&amp;viewport=367%2C48%2C0.13&amp;scaling=min-zoom&amp;starting-point-node-id=72%3A24&amp;show-proto-sidebar=1|https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=72%3A2&amp;node-id=72%[…]g=min-zoom&amp;starting-point-node-id=72%3A24&amp;show-proto-sidebar=1>",2021-08-31 12:17:03.000699997,2021-08-31
message,U01T2RB3BRC,U01T2RB3BRC,U01SXV000Q7,I am going to cancel the readable subscription today <!channel> so last chance to play around with it and take screenshots of things you think are good or could be improved on...Competitor hunters - go! :slightly_smiling_face:,2021-09-01 11:13:23.003000021,2021-09-01
message,no_replies,U01T2RB3BRC,no_replies,"I reopened if you want to finish your point, Juan",2021-09-01 13:42:10.004800081,2021-09-01
message,U024QQGAX7B,U01T2RB3BRC,no_replies,"OK, cool. I think there are a few things we can do to simplify the information. But, yes, let's fix issues first",2021-09-01 13:43:27.005700111,2021-09-01
message,no_replies,U01T2RB3BRC,no_replies,"Hi all, here is an updated design demo. No changes to the organisation has been made, I know we may change things. But this is a good step in the direction of making it 'slick' <!channel>",2021-09-03 10:35:28.007200003,2021-09-03
message,no_replies,U01T2RB3BRC,U024QQGAX7B,,2021-09-03 10:35:53.007299900,2021-09-03
message,no_replies,U01T2RB3BRC,no_replies,<https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=117%3A2&amp;node-id=201%3A462&amp;viewport=367%2C48%2C0.5&amp;scaling=min-zoom&amp;starting-point-node-id=169%3A43&amp;show-proto-sidebar=1|https://www.figma.com/proto/mmZmtvJsoCz7AkQZGtCSYV/Tigim?page-id=117%3A2&amp;node-id=20[…]=min-zoom&amp;starting-point-node-id=169%3A43&amp;show-proto-sidebar=1>,2021-09-03 10:39:13.007699966,2021-09-03
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"Oh, the weekend. Hello! :slightly_smiling_face: Have a good one <!everyone>",2021-09-03 16:03:12.009299994,2021-09-03
message,no_replies,U01T2RB3BRC,no_replies,"Notes are in the Daily Bulletins folder, or here- <https://docs.google.com/document/d/1u2s-gfTMV-DWpY42x5BBq74mBsAotu5C0vas7dQPufw/edit?usp=sharing>",2021-09-13 09:15:19.000499964,2021-09-13
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"Morning, all. To make meeting times even more annoying/complicated, I have to attend something this afternoon. So can we push the meeting to 3? <!channel>",2021-09-16 09:21:01.001199961,2021-09-16
message,U01T2RB3BRC,U01T2RB3BRC,U020GRBA51C,"Hi all, tomorrow is travel day back to Ireland and we'll only get home in the afternoon. Can we move the meeting to the later time of 4 pm? <!channel>",2021-09-20 15:34:33.000999928,2021-09-20
message,no_replies,U01T2RB3BRC,no_replies,"I think there are still a few issues before we can get people to test the doc analysis. So once the server is working again (fingers crossed), things that we will push on to get it tested asap, include:
• Classification issues fixed (apostrophes, hyphens, colour coding)
• Sentence suggestions - use stock suggestions (updated today)
• Descriptions in deeper analysis
• Pdf generation 
They are the major things, there a few minor things that we can work on. This is just a first phase of getting it in front of people. So let's see how far we get tomorrow and can hopefully share with a few people. <!channel>",2021-09-20 15:39:26.004199982,2021-09-20
message,U020GRBA51C,U01T2RB3BRC,U024QQGAX7B,"Hi, all. I have a call at 2 today, can we meet at 3 instead? <!channel>",2021-09-30 08:52:39.000499964,2021-09-30
message,U01T3DFVCB0,U01T3DFVCB0,U01T2RB3BRC,"Good morning <!everyone>.  And congratulations <@U020GRBA51C>, Argentina won the Copa America!",2021-07-12 08:00:08.001800060,2021-07-12
message,no_replies,U01T3DFVCB0,no_replies,timeout,2021-07-14 13:40:25.003799915,2021-07-14
message,U01T3DFVCB0,U01T3DFVCB0,U01T2RB3BRC,My trilingual invitation :smile: <https://share.getcloudapp.com/o0ue0ENB>,2021-07-15 09:05:25.006099939,2021-07-15
message,U01SXV000Q7,U01T3DFVCB0,U01T2RB3BRC,"Don’t worry, I forgot that too :grin:. I was opening multiple times Zoom and asking me what was happening",2021-08-04 08:51:20.001600027,2021-08-04
message,U024QQGAX7B,U01T3DFVCB0,no_replies,"for the assessments I only have pending:
- Download report as pdf (candidate result and group report). I think Juan can do this better from the frontend side
• Add system to allow owners pay for invitations
",2021-08-11 13:45:27.003799915,2021-08-11
message,no_replies,U01T3DFVCB0,U01T2RB3BRC,"Owner dashboard is live again, now with the map working like a charm: <https://share.getcloudapp.com/Z4ujZLD7>",2021-08-11 15:07:11.007299900,2021-08-11
message,U01T2RB3BRC,U01T3DFVCB0,no_replies,This is what we want to do with the document analysis? <https://textinspector.com/>,2021-08-12 12:39:39.003200054,2021-08-12
message,no_replies,U01T3DFVCB0,no_replies,<https://textinspector.com/help/subscription-details/>,2021-08-12 12:43:17.003499985,2021-08-12
message,no_replies,U01T3DFVCB0,U01SXV000Q7,<!channel> <https://analysis.tigim.co/> is alive!,2021-08-17 09:56:15.003400087,2021-08-17
message,no_replies,U01T3DFVCB0,no_replies,"For now is not completed and is not connected to the backend to run the analysis, but there you can see a sample of how we are displaying the results and we need get more suggestion on that",2021-08-17 09:57:55.005000114,2021-08-17
message,no_replies,U01T3DFVCB0,no_replies,<http://analysis.tigim.co|analysis.tigim.co>,2021-08-25 13:41:54.000200033,2021-08-25
message,U01T2RB3BRC,U01T3DFVCB0,U01T2RB3BRC,Have <@U024QQGAX7B> <@U01T2RB3BRC> <@U020GRBA51C> a great weekend. Let’s enjoy the last weeks with this great weather on this side of the planet!,2021-08-27 15:52:18.004100084,2021-08-27
message,no_replies,U01T3DFVCB0,no_replies,Happy weekend <!everyone>!,2021-09-03 16:02:22.008800030,2021-09-03
message,no_replies,U01T3DFVCB0,no_replies,"<!channel> after some rounds fighting with the server, I solved the issue. I applied latest changes from Juan and looks like is working as expected. Please test it",2021-09-13 09:57:28.001100063,2021-09-13
message,no_replies,U01T3DFVCB0,no_replies,"If fails for someone, please send me back the text/pdf to check what happened",2021-09-13 10:01:37.002099991,2021-09-13
message,U01T3DFVCB0,U01T3DFVCB0,U01T2RB3BRC,<!channel> suggestions? (I know the difficult sentences page ending is not ok yet),2021-09-15 16:29:48.002000093,2021-09-15
message,U01T2RB3BRC,U01T3DFVCB0,U01SXV000Q7,"<!channel> good morning. I have good news: Finally the pdf report is working and is being attached to the email!. I will be doing some minor adjustments today, but the the hard work  is done",2021-09-21 08:25:23.001800060,2021-09-21
message,U01T2RB3BRC,U01T3DFVCB0,no_replies,<!channel> who remember the word that was giving us a phrase as synonym?,2021-09-22 09:14:48.000799894,2021-09-22
message,no_replies,U01T3DFVCB0,U01SXV000Q7,"<!channel> updates:
• Word synonyms request error fixed
• Phrase synonyms removed
• Document details updated, now all details are inside one single box (thanks <@U024QQGAX7B>)
• Email image updated
• *CEFR* Level is now updated, no more A1, now we have A1/A2, B1/B2 or C1/C2 coming directly from the document analysis
• *Names, times and dates* replaced by *Names and numbers*
• *This word has no synonyms* was replaced by *This word has no synonyms. Try to provide more context or give an explanation for the word*
• Website summary is showing always the “external” text version ",2021-09-22 14:09:11.004800081,2021-09-22
message,no_replies,U01T3DFVCB0,U01T2RB3BRC,<!channel> pdf updated:,2021-09-24 14:57:52.000400066,2021-09-24
message,no_replies,U020GRBA51C,no_replies,<!channel> I send the link for today meeting,2021-07-13 08:10:02.000499964,2021-07-13
message,no_replies,U020GRBA51C,no_replies,<https://zoom.us/j/98762269047?pwd=NzhzbWsxVU13Zk8zb3ZQM0MwVWhUZz09>,2021-07-13 08:10:12.000799894,2021-07-13
message,no_replies,U020GRBA51C,no_replies,"Niamh has a meeting with the investor, so she would not join us",2021-07-13 08:10:49.001600027,2021-07-13
message,no_replies,U020GRBA51C,no_replies,we can use the same link,2021-07-14 13:41:22.004199982,2021-07-14
message,no_replies,U020GRBA51C,U01T3DFVCB0,,2021-07-15 09:52:49.007200003,2021-07-15
message,no_replies,U020GRBA51C,no_replies,<!everyone> Our first Spring is created on JIRA. I am available for any questions,2021-07-15 16:13:09.010699987,2021-07-15
message,U020GRBA51C,U020GRBA51C,no_replies,<!everyone> It will be easier to keep track of the feedback survey if we have a list of all invited candidates,2021-07-19 10:37:58.001300097,2021-07-19
message,U01SXV000Q7,U020GRBA51C,U01T2RB3BRC,"On the anniversary of the first Moon landing, as a message of universal friendship, every July 20, in Argentina, the Friend's day is celebrated. <!everyone> Have a nice day!
“The bird a nest, the spider a web, man friendship.” ― *William Blake*",2021-07-20 10:13:56.000600100,2021-07-20
message,no_replies,U020GRBA51C,no_replies,<https://www.loom.com/share/1a11800b4cde4ce4b88e93935e8aa1e2>,2021-07-21 11:52:50.001199961,2021-07-21
message,no_replies,U020GRBA51C,no_replies,I try to explain how to create new task on Jira. I hope it is helpful,2021-07-21 11:53:30.002099991,2021-07-21
message,U01T2RB3BRC,U020GRBA51C,no_replies,"a little bit about the competition
<https://meticulousblog.org/top-10-companies-in-online-language-learning-market/>",2021-07-29 15:56:42.006900072,2021-07-29
message,no_replies,U020GRBA51C,U01T3DFVCB0,<!channel> Today Niamh has a meeting. We have to postpone the pop-in to 10:15.,2021-08-12 08:11:08.002500057,2021-08-12
message,no_replies,U020GRBA51C,no_replies,<https://readable.com>,2021-08-12 16:04:09.004499912,2021-08-12
message,no_replies,U020GRBA51C,no_replies,there is another than do something similar,2021-08-12 16:04:24.004899979,2021-08-12
message,no_replies,U020GRBA51C,no_replies,Hey <!everyone> I just created one issue on Jira for every task in the Document Document Analysis-Improve,2021-08-31 15:11:26.003099918,2021-08-31
message,no_replies,U020GRBA51C,no_replies,<https://docs.google.com/spreadsheets/d/1MNyoX3H4kGjleuHO--K7Wy1YaVhZi7h0ATxN-8dCT1w/edit?usp=sharing>,2021-08-31 15:11:30.003299952,2021-08-31
message,no_replies,U020GRBA51C,U01T3DFVCB0,"<@U01T3DFVCB0> <@U024QQGAX7B> Some task say Roberto/Juan
Jira don't allow me to assign two people at one task, if I assign the wrong one, I sorry, just tell me and I will change",2021-08-31 15:14:38.005800009,2021-08-31
message,U01SXV000Q7,U020GRBA51C,no_replies,"<!channel> I create a little resume of Data Privacy regulations
<https://tigim.atlassian.net/l/c/0Do1vWLh>
Any question I am avaible",2021-09-01 09:56:04.001100063,2021-09-01
message,no_replies,U020GRBA51C,no_replies,Beer Time!,2021-09-03 16:54:07.010799885,2021-09-03
message,U01T3DFVCB0,U020GRBA51C,no_replies,It's works,2021-09-13 10:04:39.002399921,2021-09-13
message,U01SXV000Q7,U020GRBA51C,no_replies,"For some raison word with  's aren't classified, not even in others category.",2021-09-13 10:07:30.004499912,2021-09-13
message,no_replies,U020GRBA51C,U01T3DFVCB0,"Hi <!everyone> I created the task list, that we talk about yesterday in Jira. If someone has any question, I am availed.",2021-09-15 10:06:41.001300097,2021-09-15
message,U024QQGAX7B,U024QQGAX7B,no_replies,"<!channel> To generate documents in <http://iubenda.com|iubenda.com> we need to make one quiz for each document, that quiz ask questions related with each document, the public and the law. After answering those question the document will be generated and we will be able to download them to add to our page.",2021-07-12 15:59:21.010200024,2021-07-12
message,no_replies,U024QQGAX7B,no_replies,"Missing in assessment frontend:
• Fix issue with map
• pdf files
• More test to find issues
Maybe we need to separate the web in 2 parts to allow managers/owner do *copy &amp; paste* and this can be useful distributing the site's load because can be hundreds of candidates and only 10 managers/owner.",2021-08-11 13:54:44.006400108,2021-08-11
message,U01T2RB3BRC,U024QQGAX7B,no_replies,so I need to remove the logo from the header? :thinking_face: <@U01T2RB3BRC>,2021-08-27 15:58:30.006500006,2021-08-27
message,no_replies,U024QQGAX7B,no_replies,maybe sort the issues from the worst to fix that first,2021-09-01 13:42:27.004899979,2021-09-01
message,no_replies,U024QQGAX7B,no_replies,was only that one,2021-09-01 13:42:49.005199909,2021-09-01
message,no_replies,U024QQGAX7B,no_replies,enjoy the weekend guys! :slightly_smiling_face:,2021-09-03 16:07:30.010400057,2021-09-03
